日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024/10/01,臺股期貨,自營商,"6,236","27,820,351","6,049","27,010,080",187,"810,271","4,879","21,852,022","5,638","25,250,201",-759,"-3,398,179"
2024/10/01,臺股期貨,投信,260,"1,164,252",101,"451,458",159,"712,794","31,556","141,314,079","6,666","29,851,681","24,890","111,462,398"
2024/10/01,臺股期貨,外資,"64,563","287,826,201","66,060","294,513,958","-1,497","-6,687,757","21,752","97,412,920","61,231","274,211,573","-39,479","-176,798,653"
