日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024/01/29,臺指選擇權,自營商,196103,465231,216280,477872,-20177,-12641,119425,708391,120741,589773,-1316,118618
2024/01/30,臺指選擇權,外資,137043,430883,135723,440665,1320,-9782,79482,615752,74750,515316,4732,100436
2024/01/30,臺指選擇權,投信,100,1975,445,1144,-345,831,253,2082,445,1102,-192,980
2024/01/30,臺指選擇權,自營商,160660,385725,168315,415432,-7655,-29707,117854,652490,126825,549962,-8971,102528
2024/01/31,臺指選擇權,外資,179183,477732,177721,465210,1462,12522,66561,445211,67502,428820,-941,16391
2024/01/31,臺指選擇權,投信,0,0,0,0,0,0,253,1585,445,856,-192,729
2024/01/31,臺指選擇權,自營商,259838,524200,290631,569082,-30793,-44882,84100,567250,98415,454007,-14315,113243
2024/02/01,臺指選擇權,外資,79242,447665,83648,462645,-4406,-14980,68618,498000,73965,464702,-5347,33298
2024/02/01,臺指選擇權,投信,0,0,0,0,0,0,253,1742,445,871,-192,871
2024/02/01,臺指選擇權,自營商,110694,424678,113399,416826,-2705,7851,96257,615694,113277,500236,-17020,115458
2024/02/02,臺指選擇權,外資,75210,384786,70960,378035,4250,6751,72133,544030,73230,464848,-1097,79182
2024/02/02,臺指選擇權,投信,0,0,0,0,0,0,253,1919,445,826,-192,1093
2024/02/02,臺指選擇權,自營商,95372,333806,94880,322919,492,10887,107378,633549,123906,518201,-16528,115348
2024/02/05,臺指選擇權,外資,75699,358493,76825,361725,-1126,-3232,75792,558242,78015,485118,-2223,73124
2024/02/05,臺指選擇權,投信,0,0,0,0,0,0,253,1927,445,826,-192,1101
2024/02/05,臺指選擇權,自營商,131534,429461,126244,439609,5290,-10148,117846,649762,129084,546043,-11238,103719
2024/02/15,臺指選擇權,外資,176624,572365,160134,538309,16490,34056,86003,1236392,70160,798721,15843,437671
2024/02/15,臺指選擇權,投信,0,0,0,0,0,0,253,4364,445,2854,-192,1510
2024/02/15,臺指選擇權,自營商,264265,1073289,240242,965073,24023,108216,104037,833212,102184,810010,1853,23202
2024/02/16,臺指選擇權,外資,82812,387372,79522,390137,3290,-2765,92213,1173181,73080,783257,19133,389924
2024/02/16,臺指選擇權,投信,0,0,0,0,0,0,253,4208,445,2598,-192,1610
2024/02/16,臺指選擇權,自營商,130009,417102,136404,473966,-6395,-56865,118542,802181,123084,815429,-4542,-13248
2024/02/19,臺指選擇權,外資,112133,382353,117274,378059,-5141,4294,92430,1198566,78438,808529,13992,390037
2024/02/19,臺指選擇權,投信,0,0,0,0,0,0,253,4352,445,2700,-192,1652
2024/02/19,臺指選擇權,自營商,163058,337685,166651,334410,-3593,3275,126443,778459,134578,803575,-8135,-25116
2024/02/20,臺指選擇權,外資,126026,405270,123703,397691,2323,7580,102314,1398233,85999,922562,16315,475671
2024/02/20,臺指選擇權,投信,0,0,0,0,0,0,253,4752,445,3302,-192,1450
2024/02/20,臺指選擇權,自營商,194597,427693,186409,370933,8188,56760,138377,877645,138324,890095,53,-12450
2024/02/21,臺指選擇權,外資,237737,630491,236902,630926,835,-434,39534,310425,45984,293588,-6450,16837
2024/02/21,臺指選擇權,投信,172,2260,153,2,19,2258,172,2322,0,0,172,2322
2024/02/21,臺指選擇權,自營商,265474,566171,279007,636061,-13533,-69890,87879,656068,74381,283197,13498,372871
2024/02/22,臺指選擇權,外資,87400,386577,86866,410790,534,-24213,48210,412160,54126,336342,-5916,75818
2024/02/22,臺指選擇權,投信,0,0,0,0,0,0,172,1410,0,0,172,1410
2024/02/22,臺指選擇權,自營商,171333,541931,165971,512222,5362,29709,110400,753415,91540,364764,18860,388651
2024/02/23,臺指選擇權,外資,130704,576966,124897,546463,5807,30503,61552,451775,61661,346224,-109,105551
2024/02/23,臺指選擇權,投信,0,0,0,0,0,0,172,1290,0,0,172,1290
2024/02/23,臺指選擇權,自營商,205214,605948,203864,636078,1350,-30130,128067,766840,107857,410761,20210,356079
2024/02/26,臺指選擇權,外資,109315,407558,109872,414528,-557,-6970,67048,475621,67714,365702,-666,109919
2024/02/26,臺指選擇權,投信,0,0,0,0,0,0,172,1041,0,0,172,1041
2024/02/26,臺指選擇權,自營商,173223,435910,165240,401925,7983,33985,134208,787740,106015,411999,28193,375741
2024/02/27,臺指選擇權,外資,182245,654887,179663,663040,2582,-8153,74340,400794,72424,361652,1916,39142
2024/02/27,臺指選擇權,投信,0,0,0,0,0,0,172,1299,0,0,172,1299
2024/02/27,臺指選擇權,自營商,258687,659141,271814,694331,-13127,-35190,129937,794991,114871,411359,15066,383632
2024/02/29,臺指選擇權,外資,190324,499959,195214,528233,-4890,-28273,45210,389291,55386,343107,-10176,46184
2024/02/29,臺指選擇權,投信,0,0,0,0,0,0,172,998,0,0,172,998
2024/02/29,臺指選擇權,自營商,290840,637636,277000,570929,13840,66707,104472,771828,84350,391262,20122,380566
2024/03/01,臺指選擇權,外資,104952,437829,105790,443799,-838,-5970,50231,385310,61245,347911,-11014,37399
2024/03/01,臺指選擇權,投信,0,0,0,0,0,0,172,894,0,0,172,894
2024/03/01,臺指選擇權,自營商,159809,467109,162142,464928,-2333,2181,116789,769770,99000,391774,17789,377996
2024/03/04,臺指選擇權,外資,214984,904871,207382,891899,7602,12972,67610,723995,71022,448458,-3412,275537
2024/03/04,臺指選擇權,投信,0,0,100,206,-100,-206,172,348,100,203,72,145
2024/03/04,臺指選擇權,自營商,347623,978435,346897,1036044,726,-57609,141087,947442,122572,642675,18515,304767
2024/03/05,臺指選擇權,外資,232076,857863,235660,872367,-3584,-14504,74453,829403,81449,506773,-6996,322630
2024/03/05,臺指選擇權,投信,0,0,0,0,0,0,172,254,100,148,72,106
2024/03/05,臺指選擇權,自營商,319626,868151,309067,917061,10559,-48909,164721,1019420,135647,766329,29074,253091
2024/03/06,臺指選擇權,外資,291435,917524,291928,920328,-493,-2804,57926,895129,59092,478278,-1166,416851
2024/03/06,臺指選擇權,投信,0,0,0,0,0,0,172,176,100,103,72,73
2024/03/06,臺指選擇權,自營商,448930,1104613,437982,1122407,10948,-17794,134937,981792,117745,748406,17192,233386
2024/03/07,臺指選擇權,外資,210309,1154044,209187,1162289,1122,-8246,71583,1270924,71627,619406,-44,651518
2024/03/07,臺指選擇權,投信,0,0,0,0,0,0,172,108,100,63,72,45
2024/03/07,臺指選擇權,自營商,286072,1104540,272921,1171527,13151,-66987,176537,1257303,146194,1146840,30343,110463
2024/03/08,臺指選擇權,外資,315782,1773428,310830,1763159,4952,10269,84572,1482883,79664,709030,4908,773853
2024/03/08,臺指選擇權,投信,0,0,0,0,0,0,172,108,100,63,72,45
2024/03/08,臺指選擇權,自營商,344962,1587880,363766,1779334,-18804,-191454,179306,1363967,167767,1468388,11539,-104421
2024/03/11,臺指選擇權,外資,290592,1514982,291507,1520879,-915,-5897,88440,1351677,84447,686249,3993,665428
2024/03/11,臺指選擇權,投信,0,0,0,0,0,0,172,125,100,73,72,52
2024/03/11,臺指選擇權,自營商,294056,1191363,296119,1250541,-2063,-59178,192264,1284451,182788,1396332,9476,-111881
2024/03/12,臺指選擇權,外資,209376,876489,204751,861476,4625,15013,91204,1689423,82586,754268,8618,935155
2024/03/12,臺指選擇權,投信,0,0,0,0,0,0,172,37,100,22,72,15
2024/03/12,臺指選擇權,自營商,308932,877900,314758,924216,-5826,-46316,189751,1353381,186101,1619889,3650,-266508
2024/03/13,臺指選擇權,外資,391978,1066596,395477,1064798,-3499,1798,82215,1550979,74107,686166,8108,864813
2024/03/13,臺指選擇權,投信,0,0,0,0,0,0,172,22,100,13,72,9
2024/03/13,臺指選擇權,自營商,455161,1186352,465047,1292410,-9886,-106058,150182,1293934,147646,1646887,2536,-352953
2024/03/14,臺指選擇權,外資,161515,847084,161878,895147,-363,-48062,87431,1505191,79686,716697,7745,788494
2024/03/14,臺指選擇權,投信,0,0,0,0,0,0,172,9,100,6,72,3
2024/03/14,臺指選擇權,自營商,183757,785133,186940,752642,-3183,32491,170877,1418027,171524,1695884,-647,-277857
2024/03/15,臺指選擇權,外資,166243,790785,171442,802427,-5199,-11643,89091,1139668,86545,630182,2546,509486
2024/03/15,臺指選擇權,投信,0,0,0,0,0,0,172,13,100,8,72,5
2024/03/15,臺指選擇權,自營商,193825,650491,193563,703248,262,-52757,178600,1315053,178985,1499871,-385,-184818
2024/03/18,臺指選擇權,外資,158034,636504,158017,639099,17,-2595,90152,1403410,87589,691507,2563,711903
2024/03/18,臺指選擇權,投信,0,0,0,0,0,0,172,4,100,3,72,1
2024/03/18,臺指選擇權,自營商,216772,526831,215329,541370,1443,-14540,191148,1402614,190090,1668393,1058,-265779
2024/03/19,臺指選擇權,外資,217965,770846,222572,796170,-4607,-25323,91168,1293404,93212,679110,-2044,614294
2024/03/19,臺指選擇權,投信,0,0,0,0,0,0,172,2,100,1,72,1
2024/03/19,臺指選擇權,自營商,284367,696238,277671,685996,6696,10242,196231,1360795,188477,1564317,7754,-203522
2024/03/20,臺指選擇權,外資,363056,967551,362553,959688,503,7863,17937,137131,29194,121717,-11257,15414
2024/03/20,臺指選擇權,投信,172,2168,172,2,0,2166,172,2296,0,0,172,2296
2024/03/20,臺指選擇權,自營商,414396,910986,434246,973159,-19850,-62172,76131,684043,60784,364501,15347,319542
2024/03/21,臺指選擇權,外資,134397,724475,132986,705441,1411,19034,27636,287077,37482,188648,-9846,98429
2024/03/21,臺指選擇權,投信,0,0,0,0,0,0,172,1041,0,0,172,1041
2024/03/21,臺指選擇權,自營商,225406,815421,241078,859007,-15672,-43586,86125,864497,86450,556663,-325,307834
2024/03/22,臺指選擇權,外資,179224,902198,181857,926249,-2633,-24051,31215,264959,43694,199818,-12479,65141
2024/03/22,臺指選擇權,投信,0,0,0,0,0,0,172,877,0,0,172,877
2024/03/22,臺指選擇權,自營商,234642,835567,241090,865207,-6448,-29641,95039,841337,101812,541948,-6773,299389
2024/03/25,臺指選擇權,外資,140180,615757,142517,621317,-2337,-5560,34072,269268,48888,212388,-14816,56880
2024/03/25,臺指選擇權,投信,0,0,0,0,0,0,172,851,0,0,172,851
2024/03/25,臺指選擇權,自營商,198324,541696,181418,491872,16906,49824,109407,840988,99274,488450,10133,352538
2024/03/26,臺指選擇權,外資,415702,1587297,414192,1590594,1510,-3297,42530,316151,55836,275000,-13306,41151
2024/03/26,臺指選擇權,投信,0,0,0,0,0,0,172,1023,0,0,172,1023
2024/03/26,臺指選擇權,自營商,461397,1195584,467315,1231176,-5918,-35591,115670,880141,111455,563049,4215,317092
2024/03/27,臺指選擇權,外資,241838,671474,238549,674152,3289,-2679,36960,321514,47255,255060,-10295,66454
2024/03/27,臺指選擇權,投信,100,1259,80,243,20,1016,272,2123,80,280,192,1843
2024/03/27,臺指選擇權,自營商,334644,648486,319999,634235,14645,14251,86516,839131,74881,494219,11635,344912
2024/03/28,臺指選擇權,外資,131329,668121,133175,675040,-1846,-6919,41472,302468,53613,255812,-12141,46656
2024/03/28,臺指選擇權,投信,0,0,0,0,0,0,272,1903,80,204,192,1699
2024/03/28,臺指選擇權,自營商,172056,576506,182929,668712,-10873,-92206,104731,829760,103969,568351,762,261409
2024/03/29,臺指選擇權,外資,130425,586712,127918,575635,2507,11076,43084,324807,52718,257825,-9634,66982
2024/03/29,臺指選擇權,投信,0,0,0,0,0,0,272,1933,80,228,192,1705
2024/03/29,臺指選擇權,自營商,180938,617378,152639,494080,28299,123299,121922,920739,92861,533775,29061,386964
2024/04/01,臺指選擇權,外資,156229,651460,155431,657960,798,-6500,47120,327519,55956,267116,-8836,60403
2024/04/01,臺指選擇權,投信,0,0,0,0,0,0,272,1819,80,198,192,1621
2024/04/01,臺指選擇權,自營商,208020,607150,221322,670617,-13302,-63466,121222,907781,105463,585303,15759,322478
2024/04/02,臺指選擇權,外資,209364,763193,205472,741395,3892,21798,53781,472012,58725,335727,-4944,136285
2024/04/02,臺指選擇權,投信,0,0,100,50,-100,-50,272,2295,180,454,92,1841
2024/04/02,臺指選擇權,自營商,306370,812557,274252,685607,32118,126950,151423,1098932,103546,652766,47877,446166
2024/04/03,臺指選擇權,外資,303055,867258,306430,890936,-3375,-23678,41750,339270,46690,278768,-4940,60502
2024/04/03,臺指選擇權,投信,0,0,0,0,0,0,272,1851,180,271,92,1580
