日期,單位名稱,買進金額,賣出金額,買賣差額
2024-01-17,外資自營商,"104,200","285,900","-181,700"
2024-01-18,合計,"112,313,370,635","119,952,640,195","-7,639,269,560"
2024-01-18,外資自營商,"70,560","140,660","-70,100"
2024-01-18,外資及陸資(不含外資自營商),"89,552,442,350","98,285,734,513","-8,733,292,163"
2024-01-18,投信,"8,042,182,603","4,734,344,802","3,307,837,801"
2024-01-18,自營商(避險),"10,035,272,533","13,154,895,304","-3,119,622,771"
2024-01-18,自營商(自行買賣),"4,683,473,149","3,777,665,576","905,807,573"
2024-01-19,外資自營商,"207,500","75,290","132,210"
2024-01-19,外資及陸資(不含外資自營商),"198,118,676,661","117,321,587,269","80,797,089,392"
2024-01-19,合計,"225,853,773,247","140,364,928,958","85,488,844,289"
2024-01-19,自營商(避險),"12,360,272,460","12,076,770,403","283,502,057"
2024-01-19,自營商(自行買賣),"5,555,437,225","5,227,306,459","328,130,766"
2024-01-19,投信,"9,819,386,901","5,739,264,827","4,080,122,074"
2024-01-22,自營商(自行買賣),"6,349,535,446","5,996,097,824","353,437,622"
2024-01-22,自營商(避險),"12,260,553,803","10,668,750,177","1,591,803,626"
2024-01-22,投信,"9,145,933,782","8,214,230,138","931,703,644"
2024-01-22,外資及陸資(不含外資自營商),"159,639,395,331","122,694,918,503","36,944,476,828"
2024-01-22,外資自營商,"116,990","923,890","-806,900"
2024-01-22,合計,"187,395,418,362","147,573,996,642","39,821,421,720"
2024-01-23,投信,"5,092,762,471","6,094,925,367","-1,002,162,896"
2024-01-23,自營商(自行買賣),"4,913,038,131","4,056,211,471","856,826,660"
2024-01-23,外資及陸資(不含外資自營商),"113,867,342,570","104,804,666,077","9,062,676,493"
2024-01-23,合計,"134,991,798,021","124,539,493,838","10,452,304,183"
2024-01-23,自營商(避險),"11,118,654,849","9,583,690,923","1,534,963,926"
2024-01-23,外資自營商,"810,370","245,710","564,660"
2024-01-24,投信,"3,726,826,735","6,061,027,176","-2,334,200,441"
2024-01-24,外資及陸資(不含外資自營商),"89,579,534,142","87,634,316,631","1,945,217,511"
2024-01-24,外資自營商,"361,450","93,600","267,850"
2024-01-24,合計,"105,865,936,564","106,758,531,592","-892,595,028"
2024-01-24,自營商(自行買賣),"4,084,534,319","4,177,981,738","-93,447,419"
2024-01-24,自營商(避險),"8,475,041,368","8,885,206,047","-410,164,679"
2024-01-25,自營商(自行買賣),"4,306,911,053","4,642,347,062","-335,436,009"
2024-01-25,投信,"3,969,419,516","4,720,127,271","-750,707,755"
2024-01-25,合計,"129,340,044,216","101,386,125,675","27,953,918,541"
2024-01-25,自營商(避險),"11,087,702,686","10,091,073,903","996,628,783"
2024-01-25,外資及陸資(不含外資自營商),"109,976,010,961","81,932,577,439","28,043,433,522"
2024-01-25,外資自營商,"271,840","317,020","-45,180"
2024-01-26,合計,"108,771,230,594","108,670,339,247","100,891,347"
2024-01-26,外資及陸資(不含外資自營商),"93,168,421,265","87,897,933,286","5,270,487,979"
2024-01-26,外資自營商,"377,000","162,060","214,940"
2024-01-26,自營商(避險),"7,954,709,487","10,443,016,870","-2,488,307,383"
2024-01-26,投信,"4,555,638,360","5,740,594,610","-1,184,956,250"
2024-01-26,自營商(自行買賣),"3,092,461,482","4,588,794,481","-1,496,332,999"
2024-01-29,外資及陸資(不含外資自營商),"83,907,356,371","71,131,529,946","12,775,826,425"
2024-01-29,合計,"100,727,111,084","83,811,646,294","16,915,464,790"
2024-01-29,外資自營商,"6,540","29,440","-22,900"
2024-01-29,自營商(自行買賣),"3,275,126,647","2,808,931,212","466,195,435"
2024-01-29,投信,"4,287,900,893","2,780,229,057","1,507,671,836"
2024-01-29,自營商(避險),"9,256,727,173","7,090,956,079","2,165,771,094"
2024-01-30,合計,"121,059,014,260","120,780,371,427","278,642,833"
2024-01-30,外資及陸資(不含外資自營商),"103,000,627,653","101,479,795,306","1,520,832,347"
2024-01-30,投信,"4,327,957,152","5,827,021,691","-1,499,064,539"
2024-01-30,自營商(自行買賣),"4,385,589,502","3,687,156,714","698,432,788"
