日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024-01-25,臺股期貨,外資,57962,208540991,54091,194616007,3871,13924984,43935,158136553,40547,145931209,3388,12205344
2024-01-25,臺股期貨,投信,158,568758,205,737865,-47,-169107,12782,46007531,9602,34561439,3180,11446092
2024-01-25,臺股期貨,自營商,8228,29595204,7912,28457741,316,1137464,4939,17764691,6740,24241023,-1801,-6476332
2024-01-26,臺股期貨,自營商,6213,22373239,7158,25770487,-945,-3397248,4702,16915143,7445,26781904,-2743,-9866761
2024-01-26,臺股期貨,外資,50335,181304052,49305,177613007,1030,3691044,44162,158971591,39731,143010694,4431,15960897
2024-01-26,臺股期貨,投信,103,370799,182,655150,-79,-284351,12703,45728259,9602,34565280,3101,11162979
2024-01-29,臺股期貨,投信,463,1678421,533,1931502,-70,-253081,12222,44299861,9191,33313699,3031,10986162
2024-01-29,臺股期貨,自營商,7859,28384087,7163,25873736,696,2510352,5511,19961148,7520,27236960,-2009,-7275812
2024-01-29,臺股期貨,外資,49101,177267923,50157,181107319,-1056,-3839397,45172,163726695,41797,151482693,3375,12244002
2024-01-30,臺股期貨,自營商,6995,25318593,6869,24862827,126,455766,5261,19010699,7105,25672922,-1844,-6662223
2024-01-30,臺股期貨,外資,45104,163301773,47606,172354290,-2502,-9052517,42133,152357587,41259,149185098,874,3172489
2024-01-30,臺股期貨,投信,173,626269,49,177203,124,449066,12328,44580514,9173,33171403,3155,11409111
2024-01-31,臺股期貨,自營商,9505,34144821,10163,36512657,-658,-2367836,4579,16403048,7177,25706040,-2598,-9302992
2024-01-31,臺股期貨,外資,49725,178723799,52121,187325675,-2396,-8601876,40253,144272403,41779,149729878,-1526,-5457475
2024-01-31,臺股期貨,投信,130,465868,416,1490924,-286,-1025057,12212,43770250,9343,33487181,2869,10283069
2024-02-01,臺股期貨,投信,134,480984,11,39449,123,441535,12331,44354607,9339,33592383,2992,10762224
2024-02-01,臺股期貨,自營商,8805,31592870,8688,31179429,117,413441,4801,17258315,7298,26232280,-2497,-8973965
2024-02-01,臺股期貨,外資,67736,243190199,69731,250312285,-1995,-7122086,40052,144064496,43573,156716204,-3521,-12651708
2024-02-02,臺股期貨,外資,49141,177322164,50915,183722895,-1774,-6400730,38991,141020128,45127,163198936,-6136,-22178808
2024-02-02,臺股期貨,投信,197,712557,132,477401,65,235156,12233,44244314,9176,33187757,3057,11056557
2024-02-02,臺股期貨,自營商,6499,23456062,6009,21687288,490,1768775,5098,18426731,7114,25711315,-2016,-7284584
2024-02-05,臺股期貨,外資,58771,212021670,58129,209652420,642,2369249,38219,138235685,43713,158093140,-5494,-19857455
2024-02-05,臺股期貨,投信,242,875238,6,21705,236,853532,12462,45075054,9169,33164273,3293,11910781
2024-02-05,臺股期貨,自營商,8149,29392119,7666,27660306,483,1731813,5569,20130161,7144,25821622,-1575,-5691461
2024-02-15,臺股期貨,投信,255,951684,2,7457,253,944227,12656,47247379,9110,34009452,3546,13237927
2024-02-15,臺股期貨,自營商,13525,50155366,14681,54482465,-1156,-4327099,6509,24273933,9293,34670530,-2784,-10396597
2024-02-15,臺股期貨,外資,74975,277694053,72178,267162898,2797,10531155,44064,164481185,46717,174369158,-2653,-9887973
2024-02-16,臺股期貨,自營商,9374,35016325,8778,32784288,596,2232037,6155,22928797,8341,31071205,-2186,-8142408
2024-02-16,臺股期貨,外資,51913,193942653,55971,209098342,-4058,-15155689,42342,157820862,49045,182797586,-6703,-24976724
2024-02-16,臺股期貨,投信,1151,4299467,707,2639883,444,1659584,12500,46595961,8510,31723485,3990,14872476
2024-02-19,臺股期貨,投信,11079,41349872,10927,40781092,152,568780,12652,47244091,8510,31777558,4142,15466533
2024-02-19,臺股期貨,自營商,11077,41335932,11879,44322719,-802,-2986788,6292,23483613,9389,35045293,-3097,-11561680
2024-02-19,臺股期貨,外資,78928,294535130,75701,282496824,3227,12038306,47254,176451245,50725,189402190,-3471,-12950945
2024-02-20,臺股期貨,投信,9464,35439184,9393,35168094,71,271090,12616,47335191,8403,31528002,4213,15807189
2024-02-20,臺股期貨,自營商,11805,44146267,12911,48282146,-1106,-4135879,4995,18723173,9205,34520069,-4210,-15796896
2024-02-20,臺股期貨,外資,73614,275294811,68325,255524376,5289,19770435,51463,193069629,48721,182768171,2742,10301458
2024-02-21,臺股期貨,自營商,14112,52852592,13296,49772309,816,3080283,1774,6623575,7797,29136287,-6023,-22512712
2024-02-21,臺股期貨,外資,52577,196916214,58230,218097530,-5653,-21181316,39203,146564216,36782,137505307,2421,9058909
2024-02-21,臺股期貨,投信,116,433815,104,388879,12,44937,12662,47338153,8437,31542568,4225,15795585
2024-02-22,臺股期貨,投信,225,849826,170,636329,55,213498,12712,48015766,8432,31849350,4280,16166416
2024-02-22,臺股期貨,自營商,7190,27047969,7635,28719813,-445,-1671844,2756,10400615,9102,34365313,-6346,-23964698
2024-02-22,臺股期貨,外資,49974,187809408,49310,185338325,664,2471083,38764,146419094,35679,134758299,3085,11660795
2024-02-23,臺股期貨,外資,50900,192909477,49839,188900420,1061,4009057,38778,146673731,34632,130984161,4146,15689570
2024-02-23,臺股期貨,投信,525,1987151,31,117338,494,1869813,13019,49243066,8245,31185888,4774,18057178
2024-02-23,臺股期貨,自營商,8223,31155856,7716,29231287,507,1924569,2824,10674204,8660,32740975,-5836,-22066771
2024-02-26,臺股期貨,投信,123,466524,622,2360170,-499,-1893645,12462,47265874,8187,31051654,4275,16214220
2024-02-26,臺股期貨,自營商,6266,23717790,6766,25613097,-500,-1895307,2820,10689164,9166,34750445,-6346,-24061281
2024-02-26,臺股期貨,外資,43653,165192934,41648,157602545,2005,7590389,41051,155698054,34900,132361039,6151,23337015
2024-02-27,臺股期貨,自營商,10644,40202009,10730,40521060,-86,-319051,2924,11029540,9379,35382254,-6455,-24352714
2024-02-27,臺股期貨,外資,58201,219959967,60541,228772821,-2340,-8812855,39266,148189790,35467,133845216,3799,14344574
2024-02-27,臺股期貨,投信,1239,4677066,171,645218,1068,4031849,13653,51526422,8310,31361940,5343,20164482
2024-02-29,臺股期貨,投信,485,1839035,96,363967,389,1475068,13936,52848099,8204,31111209,5732,21736890
2024-02-29,臺股期貨,自營商,8900,33653703,8840,33427784,60,225919,3159,11970772,9528,36117937,-6369,-24147165
2024-02-29,臺股期貨,外資,46205,174641988,46383,175333296,-178,-691309,38077,144395494,34455,130652791,3622,13742703
2024-03-01,臺股期貨,自營商,7931,30077550,7971,30227771,-40,-150221,2870,10876319,9312,35298380,-6442,-24422061
2024-03-01,臺股期貨,外資,49669,188392094,54784,207769585,-5115,-19377491,34097,129302542,35590,134957204,-1493,-5654662
2024-03-01,臺股期貨,投信,1633,6192195,34,128933,1599,6063262,15550,58968710,8219,31168092,7331,27800618
2024-03-04,臺股期貨,投信,1003,3872264,1326,5120083,-323,-1247820,14951,57743752,7941,30669730,7010,27074022
2024-03-04,臺股期貨,自營商,12259,47016220,12461,47808682,-202,-792462,3603,13906207,10205,39395074,-6602,-25488867
2024-03-04,臺股期貨,外資,68524,262647920,63040,241808592,5484,20839328,37873,146272744,33886,130867091,3987,15405653
2024-03-05,臺股期貨,自營商,10540,40852126,10046,38920815,494,1931311,4044,15676737,10093,39117427,-6049,-23440690
2024-03-05,臺股期貨,外資,55959,216863217,56614,219402933,-655,-2539716,36859,142938968,33528,130014355,3331,12924613
2024-03-05,臺股期貨,投信,466,1806929,790,3066769,-324,-1259840,14518,56300804,7832,30372496,6686,25928308
2024-03-06,臺股期貨,投信,281,1096104,778,3031765,-497,-1935661,13962,54471347,7773,30325582,6189,24145765
2024-03-06,臺股期貨,自營商,13111,50845988,12158,47126539,953,3719449,4590,17898615,9646,37608351,-5056,-19709736
2024-03-06,臺股期貨,外資,57447,222624414,57457,222678355,-10,-53941,36614,142845369,33281,129835225,3333,13010144
2024-03-07,臺股期貨,投信,719,2831921,984,3881336,-265,-1049415,13647,53774639,7723,30431709,5924,23342930
2024-03-07,臺股期貨,自營商,14355,56461856,14661,57675826,-306,-1213970,5406,21290957,10763,42384188,-5357,-21093231
2024-03-07,臺股期貨,外資,86506,340336128,86784,341424042,-278,-1087915,35643,140445844,32588,128400864,3055,12044980
2024-03-08,臺股期貨,自營商,19361,76841770,18248,72430520,1113,4411250,6102,24144806,10316,40809532,-4214,-16664726
2024-03-08,臺股期貨,外資,111407,442259765,116029,460465776,-4622,-18206011,33868,134073438,35434,140264359,-1566,-6190921
2024-03-08,臺股期貨,投信,47,186548,1129,4469182,-1082,-4282633,12653,50090696,7811,30922187,4842,19168509
2024-03-11,臺股期貨,自營商,14529,57523320,14549,57600824,-20,-77504,6541,25782948,10821,42642031,-4280,-16859083
2024-03-11,臺股期貨,外資,96643,382736230,99334,393313751,-2691,-10577522,31415,123874118,37972,149722497,-6557,-25848379
2024-03-11,臺股期貨,投信,0,0,280,1104287,-280,-1104287,12440,49053408,7878,31064530,4562,17988878
2024-03-12,臺股期貨,投信,269,1072993,287,1145129,-18,-72136,12261,48931199,7717,30797004,4544,18134195
2024-03-12,臺股期貨,自營商,10908,43229342,10230,40523306,678,2706036,7399,29515170,10998,43861603,-3599,-14346433
2024-03-12,臺股期貨,外資,64587,255548257,66143,261737027,-1556,-6188769,33196,132473940,41305,164827900,-8109,-32353960
2024-03-13,臺股期貨,自營商,16613,66315122,15596,62242457,1017,4072665,8131,32395705,10648,42409544,-2517,-10013839
2024-03-13,臺股期貨,外資,82179,328015223,83202,332109572,-1023,-4094349,31577,125849019,40709,162238974,-9132,-36389955
2024-03-13,臺股期貨,投信,179,713461,168,669761,11,43701,12275,48923240,7720,30768832,4555,18154408
2024-03-14,臺股期貨,投信,0,0,152,606211,-152,-606211,12126,48358488,7723,30799324,4403,17559164
2024-03-14,臺股期貨,自營商,10807,43003754,10954,43597838,-147,-594084,8500,33888838,11105,44259167,-2605,-10370329
2024-03-14,臺股期貨,外資,67138,267199290,66600,265040512,538,2158777,34695,138363385,43293,172645844,-8598,-34282459
2024-03-15,臺股期貨,外資,72969,289389904,76069,301707104,-3100,-12317201,35722,140977090,47420,187116968,-11698,-46139878
2024-03-15,臺股期貨,投信,389,1539982,973,3843396,-584,-2303414,11703,46176677,7884,31107710,3819,15068967
2024-03-15,臺股期貨,自營商,15073,59774626,13433,53259225,1640,6515401,11314,44640355,12239,48285288,-925,-3644933
2024-03-18,臺股期貨,投信,10419,41344639,10449,41452021,-30,-107383,11707,46653230,7918,31554458,3789,15098772
2024-03-18,臺股期貨,自營商,11071,43858957,11935,47297222,-864,-3438265,9350,37235999,11283,44931914,-1933,-7695915
2024-03-18,臺股期貨,外資,86649,343252683,85345,338105746,1304,5146937,36973,147333886,47377,188761901,-10404,-41428015
2024-03-19,臺股期貨,投信,9783,38894806,8773,34865770,1010,4029036,12573,50002821,7774,30917025,4799,19085796
2024-03-19,臺股期貨,自營商,16474,65433876,16806,66755691,-332,-1321815,8946,35541914,11019,43783360,-2073,-8241446
2024-03-19,臺股期貨,外資,94205,374083160,94771,376355537,-566,-2272377,36846,146511232,47822,190116903,-10976,-43605671
2024-03-20,臺股期貨,投信,191,757624,164,650819,27,106805,12670,50256822,7807,30967246,4863,19289576
2024-03-20,臺股期貨,自營商,21478,85295680,18174,72179354,3304,13116327,975,3859114,7225,28632453,-6250,-24773339
2024-03-20,臺股期貨,外資,75514,299988478,78272,310945232,-2758,-10956754,31381,124475630,36169,143461929,-4788,-18986299
2024-03-21,臺股期貨,外資,73898,296326117,66649,267364463,7249,28961654,35218,142703061,31086,125954539,4132,16748522
2024-03-21,臺股期貨,投信,356,1442053,222,887549,134,554504,12702,51468504,7705,31220660,4997,20247844
2024-03-21,臺股期貨,自營商,10080,40513403,10127,40674980,-47,-161577,1773,7175716,8062,32641724,-6289,-25466008
2024-03-22,臺股期貨,投信,296,1197238,52,210494,244,986744,12852,52024896,7611,30809328,5241,21215568
2024-03-22,臺股期貨,自營商,9419,38086144,8679,35092622,740,2993522,2358,9539136,7891,31920952,-5533,-22381816
2024-03-22,臺股期貨,外資,64884,262430796,73035,295415350,-8151,-32984554,27557,111552207,32999,133575431,-5442,-22023224
2024-03-25,臺股期貨,自營商,6264,25358610,6964,28193635,-700,-2835025,1979,8002352,8257,33387729,-6278,-25385377
2024-03-25,臺股期貨,外資,47737,193236376,47481,192203732,256,1032645,27927,112989187,33113,133964618,-5186,-20975431
2024-03-25,臺股期貨,投信,9,36422,74,299387,-65,-262965,12784,51721507,7608,30780446,5176,20941061
2024-03-26,臺股期貨,外資,87254,353086092,88564,358351160,-1310,-5265068,28565,115319317,35041,141457192,-6476,-26137875
2024-03-26,臺股期貨,投信,49,197798,633,2555842,-584,-2358044,12406,50083022,7814,31545118,4592,18537904
2024-03-26,臺股期貨,自營商,16504,66794569,16524,66891683,-20,-97114,1977,7977052,8278,33402372,-6301,-25425320
2024-03-27,臺股期貨,外資,53167,214826750,50043,202212605,3124,12614145,30377,123077863,33717,136604659,-3340,-13526796
2024-03-27,臺股期貨,投信,353,1430021,103,417103,250,1012918,12550,50847580,7708,31229733,4842,19617847
2024-03-27,臺股期貨,自營商,8485,34297690,9641,38976604,-1156,-4678914,2082,8431476,9530,38597252,-7448,-30165776
2024-03-28,臺股期貨,投信,188,761107,32,128806,156,632301,12578,50820151,7580,30626232,4998,20193919
2024-03-28,臺股期貨,自營商,10119,40884981,8606,34771858,1513,6113123,2494,10073645,8421,34011563,-5927,-23937918
2024-03-28,臺股期貨,外資,61920,250212600,64318,259929746,-2398,-9717146,31614,127736432,37343,150878126,-5729,-23141694
2024-03-29,臺股期貨,自營商,7223,29253473,8586,34775944,-1363,-5522471,2574,10436826,9791,39695993,-7217,-29259167
2024-03-29,臺股期貨,外資,53476,216515192,48501,196358618,4975,20156574,33086,134187490,33840,137239156,-754,-3051666
2024-03-29,臺股期貨,投信,1335,5413005,14,56778,1321,5356227,13882,56299839,7563,30672503,6319,25627336
2024-04-01,臺股期貨,投信,617,2503609,26,105594,591,2398015,14499,58845641,7589,30800715,6910,28044926
2024-04-01,臺股期貨,自營商,8629,35077010,7355,29905354,1274,5171656,2613,10603653,8543,34661973,-5930,-24058320
2024-04-01,臺股期貨,外資,43644,177409435,47213,191899361,-3569,-14489926,31147,126417568,35470,143956612,-4323,-17539044
2024-04-02,臺股期貨,投信,1109,4549525,65,266110,1044,4283415,15403,63216993,7449,30572186,7954,32644807
2024-04-02,臺股期貨,自營商,10149,41449360,12862,52536754,-2713,-11087393,3236,13279745,11858,48654673,-8622,-35374928
2024-04-02,臺股期貨,外資,65089,265745873,58188,237559490,6901,28186384,36527,149918152,33215,136319381,3312,13598771
2024-04-03,臺股期貨,外資,64390,262635731,73429,299519505,-9039,-36883775,29520,120156296,36986,150539882,-7466,-30383586
2024-04-03,臺股期貨,投信,166,675856,390,1588355,-224,-912498,15474,62982275,7744,31519629,7730,31462646
2024-04-03,臺股期貨,自營商,14049,57293700,12181,49683846,1868,7609853,2283,9291633,9055,36845504,-6772,-27553871
